,idx,beta,pval,cilb,ciub,i2,tau2,symbol
ENSG00000133247.12,43783,0.900416303129901,3.91301459448024e-42,0.770668904396986,1.03016370186282,88.4391212245609,0.0797276286645997,KMT5C
ENSG00000168505.6,8995,5.41971785942262,2.3829090808341e-28,4.45775767841836,6.38167804042689,92.8476748353634,4.41492408576231,GBX2
ENSG00000089685.13,53190,2.87584545776721,2.63399473962714e-19,2.24837893624711,3.50331197928731,97.4797454843126,2.11241596911649,BIRC5
ENSG00000138778.10,1976,1.93892262515635,2.54848566669973e-18,1.50361305857985,2.37423219173285,97.6550827850312,1.03801376389009,CENPE
ENSG00000164932.11,2160,2.24346554554329,4.84593332094703e-17,1.71939938718861,2.76753170389796,96.2597463314167,1.42042410772053,CTHRC1
ENSG00000170779.10,28211,1.17611211635594,9.45266221310915e-14,0.86662847307411,1.48559575963777,98.4178595715011,0.524242920979327,CDCA4
ENSG00000168393.11,24318,0.885015221805053,1.46730187912423e-11,0.628079550656639,1.14195089295347,97.9861004301339,0.369211986737,DTYMK
ENSG00000137692.10,9583,0.616214538121459,2.80010366672552e-11,0.434780028591979,0.797649047650939,97.6207360819746,0.179113200482083,DCUN1D5
ENSG00000132436.10,21281,0.769278594441006,5.33607603828415e-10,0.526439895134415,1.0121172937476,97.9762593691409,0.332086403978238,FIGNL1
ENSG00000205857.1,26844,0.825802340022563,6.3410076923091e-10,0.563974741176367,1.08762993886876,79.3481373385728,0.280516274415891,NANOGNB
